GW,player_id,name,position,team,value,opponent_display,is_home_display,num_fixtures,predicted_points
32,1044,Pedro Lomba Neto,mid,Wolves,55,Man City (DGW),0 (DGW),2,1.61
32,549,Jamaldeen Jimoh,mid,Aston Villa,45,Southampton,0,1,1.6
32,662,Jorge Cuenca Barreno,def,Fulham,45,Chelsea,0,1,1.6
32,17,Adam Webster,def,Brighton,45,Leicester,1,1,1.59
32,430,George Hirst,fwd,Ipswich,55,Brighton,0,1,1.59
32,478,Hubert Graczyk,gk,Man United,40,Aston Villa,1,1,1.59
32,765,Lewis Cook,mid,Bournemouth,50,Fulham,1,1,1.58
32,891,Mats Wieffer,mid,Brighton,50,Leicester,1,1,1.58
32,984,Nico O'Reilly,mid,Man City,45,Everton,1,1,1.58
32,1147,Samuel Rak-Sakyi,mid,Chelsea,45,Man City (DGW),0 (DGW),2,1.58
32,600,Jesper Lindstrom,mid,Everton,55,Bournemouth,0,1,1.57
32,1221,Thomas Partey,mid,Arsenal,50,Brentford,1,1,1.57
32,197,Carl Rushworth,gk,Brighton,40,Leicester,1,1,1.56
32,1129,Ryan Yates,mid,Nottingham Forest,50,Liverpool,0,1,1.56
32,193,Cameron Humphreys,mid,Ipswich,45,Brighton,0,1,1.55
32,663,Jorge Luiz Frello Filho,mid,Chelsea,60,Brentford,1,1,1.55
32,730,Killian Cahill,gk,Brighton,40,Leicester,1,1,1.55
32,1255,Tyler Fredricson,def,Man United,40,Aston Villa,1,1,1.55
32,552,James Garner,mid,Man United,45,Bournemouth,0,1,1.54
32,533,Jacob Slater,def,Brighton,40,Leicester,1,1,1.53
32,1276,Vitaly Janelt,mid,Brentford,55,Arsenal,0,1,1.53
32,801,Luis Sinisterra Lucumi,mid,Bournemouth,55,Fulham,1,1,1.52
32,502,Ismaila Sarr,mid,Crystal Palace,60,Nott'm Forest,0,1,1.51
32,510,Iwan Morgan,fwd,Brentford,45,Arsenal,0,1,1.51
32,688,Julian Eyestone,gk,Brentford,40,Arsenal,0,1,1.51
32,233,Christian Norgaard,mid,Brentford,55,Arsenal,0,1,1.5
32,683,Joshua Zirkzee,fwd,Man United,70,Aston Villa,1,1,1.5
32,137,Ben Nelson,def,Leicester,40,Crystal Palace,1,1,1.49
32,582,Jayce Fitzgerald,mid,Man United,45,Aston Villa,1,1,1.49
32,995,Norberto Bercique Gomes Betuncal,fwd,Everton,60,Bournemouth,0,1,1.49
32,1097,Rodrigo Muniz Carvalho,fwd,Fulham,55,Chelsea,0,1,1.49
32,1241,Tommy Setford,gk,Arsenal,45,Brentford,1,1,1.49
32,490,Igor Thiago Nascimento Rodrigues,fwd,Brentford,60,Arsenal,0,1,1.48
32,592,Jefferson Lerma Solis,mid,Bournemouth,50,Nott'm Forest,0,1,1.48
32,1309,Woyo Coulibaly,def,Leicester,40,Crystal Palace,1,1,1.48
32,457,Harrison Armstrong,mid,Everton,45,Bournemouth,0,1,1.47
32,524,Jack Taylor,mid,Ipswich,50,Brighton,0,1,1.47
32,905,Matty Cash,def,Aston Villa,50,Southampton,0,1,1.46
32,39,Alex Paulsen,gk,Bournemouth,40,Fulham,1,1,1.45
32,41,Alex Scott,mid,Bournemouth,50,Fulham,1,1,1.45
32,515,Jack Fletcher,mid,Man United,45,Aston Villa,1,1,1.45
32,1110,Ruairi McConville,def,Brighton,40,Leicester,1,1,1.45
32,867,Martin Sherif,fwd,Everton,45,Bournemouth,0,1,1.44
32,883,Matheus Luiz Nunes,mid,Wolves,50,Everton,1,1,1.44
32,904,Matthijs de Ligt,def,Man United,50,Aston Villa,1,1,1.44
32,964,Nathan Broadhead,mid,Ipswich,50,Brighton,0,1,1.44
32,994,Noni Madueke,mid,Chelsea,55,Man City (DGW),0 (DGW),2,1.43
32,75,Andres Garcia,def,Aston Villa,45,Southampton,0,1,1.42
32,613,Joao Felix Sequeira,mid,Chelsea,65,Man City (DGW),0 (DGW),2,1.42
32,203,Carlos Miguel dos Santos Pereira,gk,Nottingham Forest,45,Liverpool,0,1,1.41
32,325,Dominic Calvert-Lewin,fwd,Everton,80,Bournemouth,0,1,1.41
32,498,Isaac Heath,mid,Everton,45,Bournemouth,0,1,1.41
32,1243,Tosin Adarabioyo,def,Fulham,45,Man City (DGW),0 (DGW),2,1.41
32,1,Aaron Anselmino,def,Chelsea,40,Man City (DGW),0 (DGW),2,1.39
32,155,Billy Gilmour,mid,Chelsea,45,Leicester,1,1,1.39
32,285,Dara O'Shea,def,Burnley,45,Brighton,0,1,1.38
32,990,Nikola Milenkovic,def,Nottingham Forest,45,Liverpool,0,1,1.36
32,1324,Yunus Emre Konak,mid,Brentford,45,Arsenal,0,1,1.36
32,236,Christian Walton,gk,Ipswich,45,Brighton,0,1,1.35
32,360,Emiliano Buendia Stati,mid,Aston Villa,60,Southampton,0,1,1.35
32,464,Harry Maguire,def,Man United,50,Aston Villa,1,1,1.35
32,181,Callan McKenna,gk,Bournemouth,40,Fulham,1,1,1.34
32,262,Daichi Kamada,mid,Crystal Palace,55,Nott'm Forest,0,1,1.33
32,768,Lewis Hall,def,Chelsea,45,Wolves,0,1,1.33
